movie_urls,movie_title,release_year,genre,IMDb_rating,production_country,streaming_services,Runtime,age_rating,tv_urls,tv_title
,,2024,"Animation, Action & Adventure, Fantasy, Science-Fiction",8.5,"Japan, South Korea","['Crunchyroll', 'Crunchyroll']",23min,,https://www.justwatch.com/in/tv-show/solo-leveling-2024,Solo Leveling
,,2023,"Crime, Drama, Mystery & Thriller",8.4,India,['Amazon Prime Video'],56min,,https://www.justwatch.com/in/tv-show/farzi,Farzi
,,2023,"Drama, Action & Adventure, Horror, Science-Fiction, Mystery & Thriller",8.8,United States,['Jio Cinema'],58min,A,https://www.justwatch.com/in/tv-show/the-last-of-us,The Last of Us
,,2023,"Drama, Science-Fiction, Action & Adventure",7.0,United States,"['Apple TV Plus', 'Apple TV Plus']",46min,,https://www.justwatch.com/in/tv-show/monarch-legacy-of-monsters,Monarch: Legacy of Monsters
,,2023,"Science-Fiction, Romance, Comedy, Drama, Fantasy",7.9,South Korea,['Netflix'],1h 5min,,https://www.justwatch.com/in/tv-show/my-demon,My Demon
,,2024,"Action & Adventure, Crime",8.2,India,['Amazon Prime Video'],38min,,https://www.justwatch.com/in/tv-show/indian-police-force,Indian Police Force
,,2023,"Drama, History, Mystery & Thriller",8.5,India,['Netflix'],59min,,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,The Railway Men - The Untold Story of Bhopal 1984
,,2022,"Drama, Comedy",8.6,United States,['Hotstar'],34min,,https://www.justwatch.com/in/tv-show/the-bear,The Bear
,,2023,"Science-Fiction, Drama, Fantasy",8.8,South Korea,['Amazon Prime Video'],51min,,https://www.justwatch.com/in/tv-show/deaths-game,Death's Game
,,2024,"Romance, Comedy, Drama, Fantasy, Science-Fiction",8.2,South Korea,['Amazon Prime Video'],1h 0min,,https://www.justwatch.com/in/tv-show/marry-my-husband,Marry My Husband
,,2023,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Comedy, Fantasy",8.1,India,['Hotstar'],29min,,https://www.justwatch.com/in/tv-show/taaza-khabar,Taaza Khabar
,,2023,"History, Horror, Mystery & Thriller, Action & Adventure, Drama",7.4,South Korea,['Netflix'],1h 9min,,https://www.justwatch.com/in/tv-show/gyeongseong-creature,Gyeongseong Creature
,,2023,"Science-Fiction, Kids & Family, Fantasy, Action & Adventure",7.4,United States,,37min,,https://www.justwatch.com/in/tv-show/percy-jackson-and-the-olympians,Percy Jackson and the Olympians
,,2023,"Mystery & Thriller, Drama",7.8,India,['Amazon Prime Video'],43min,A,https://www.justwatch.com/in/tv-show/dhootha,Dhootha
,,2023,"Drama, Crime",8.0,India,['Sony Liv'],44min,,https://www.justwatch.com/in/tv-show/scam-2003-the-telgi-story,Scam 2003: The Telgi Story
,,2024,"Comedy, Drama, Action & Adventure, Crime",7.7,United States,['Netflix'],55min,,https://www.justwatch.com/in/tv-show/the-brothers-sun,The Brothers Sun
,,2023,"Science-Fiction, Action & Adventure, Drama, Fantasy, Comedy",8.4,United States,['Netflix'],56min,,https://www.justwatch.com/in/tv-show/one-piece-2023,ONE PIECE
,,2023,"Drama, Mystery & Thriller",8.0,India,['Netflix'],1h 2min,,https://www.justwatch.com/in/tv-show/kaala-paani,Kaala Paani
,,2023,Drama,7.3,India,['Amazon miniTV'],24min,,https://www.justwatch.com/in/tv-show/dehati-ladke,Dehati Ladke
,,2022,"Science-Fiction, Comedy, Crime, Fantasy, Kids & Family, Horror",8.1,United States,['Netflix'],49min,,https://www.justwatch.com/in/tv-show/wednesday,Wednesday
,,2022,"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.5,United States,['Jio Cinema'],1h 2min,A,https://www.justwatch.com/in/tv-show/house-of-the-dragon,House of the Dragon
,,2024,"Comedy, Drama",7.5,India,['Hotstar'],37min,U,https://www.justwatch.com/in/tv-show/perilloor-premier-league,Perilloor Premier League
,,2023,"Comedy, Drama, Mystery & Thriller",7.1,United States,['Lionsgate Play'],53min,,https://www.justwatch.com/in/tv-show/the-curse,The Curse
,,2022,"Drama, Mystery & Thriller, Comedy, Crime",8.1,"United States, United Kingdom","['Apple TV Plus', 'Apple TV Plus']",45min,A,https://www.justwatch.com/in/tv-show/slow-horses,Slow Horses
,,2023,"Action & Adventure, Drama, Science-Fiction, Comedy",7.8,United States,['Amazon Prime Video'],47min,,https://www.justwatch.com/in/tv-show/gen-v,Gen V
,,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",7.6,India,['Hotstar'],52min,A,https://www.justwatch.com/in/tv-show/the-night-manager-2023,The Night Manager
,,2023,"Drama, History, Mystery & Thriller, Animation, Action & Adventure",8.8,United States,['Netflix'],47min,A,https://www.justwatch.com/in/tv-show/blue-eye-samurai,Blue Eye Samurai
,,2023,"Drama, Mystery & Thriller, Crime",7.1,United States,['Hotstar'],1h 0min,,https://www.justwatch.com/in/tv-show/a-murder-at-the-end-of-the-world,A Murder at the End of the World
,,2022,"Drama, Crime",8.0,United States,['Jio Cinema'],39min,,https://www.justwatch.com/in/tv-show/tulsa-king,Tulsa King
,,2024,Comedy,8.1,United States,,41min,,https://www.justwatch.com/in/tv-show/ted,ted
,,2023,"Drama, Comedy",8.0,United States,['Netflix'],35min,A,https://www.justwatch.com/in/tv-show/beef,Beef
